"duplicate_group","sha256","image_count","is_cross_split","split","label","species","source_path","processed_path"
"1","37ff51a8d0e370c856513579b7ec48aecf1dd009ec51938dd379121fee970321","4","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000001_0.jpg","data\processed\train\edible\edible_000000.jpg"
"1","37ff51a8d0e370c856513579b7ec48aecf1dd009ec51938dd379121fee970321","4","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000001_1.jpg","data\processed\train\edible\edible_000001.jpg"
"1","37ff51a8d0e370c856513579b7ec48aecf1dd009ec51938dd379121fee970321","4","False","train","edible","Agaricus_subrufescens","data\raw\splitted_dataset\train\edible\Agaricus_subrufescens_000011_0.jpg","data\processed\train\edible\edible_000065.jpg"
"1","37ff51a8d0e370c856513579b7ec48aecf1dd009ec51938dd379121fee970321","4","False","train","edible","Agaricus_subrufescens","data\raw\splitted_dataset\train\edible\Agaricus_subrufescens_000012_1.jpg","data\processed\train\edible\edible_000068.jpg"
"2","6070154e5399c51b808708831941b9d9be9829b7fb4088c1f6cb355d55702547","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000002_0.jpg","data\processed\train\edible\edible_000002.jpg"
"2","6070154e5399c51b808708831941b9d9be9829b7fb4088c1f6cb355d55702547","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000002_1.jpg","data\processed\train\edible\edible_000003.jpg"
"3","bbbce41f4708ea81f27c44726226b8f814a4d4559b68d8b570d24eeb170fae8c","2","True","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000003_1.jpg","data\processed\train\edible\edible_000004.jpg"
"3","bbbce41f4708ea81f27c44726226b8f814a4d4559b68d8b570d24eeb170fae8c","2","True","val","edible","Agaricus_bisporus","data\raw\splitted_dataset\val\edible\Agaricus_bisporus_000003_0.jpg","data\processed\val\edible\edible_000000.jpg"
"4","9311dd8890a5288c08c4f468ae6280301c2eeab63daccffa242983bddd2ca70e","2","True","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000004_1.jpg","data\processed\train\edible\edible_000005.jpg"
"4","9311dd8890a5288c08c4f468ae6280301c2eeab63daccffa242983bddd2ca70e","2","True","val","edible","Agaricus_bisporus","data\raw\splitted_dataset\val\edible\Agaricus_bisporus_000006_0.jpg","data\processed\val\edible\edible_000002.jpg"
"5","dbe69dfcb3d3a11e1a70b43b6ab1eed4a936a2a66c0ef44dfa2633d58acb2771","2","True","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000005_0.png","data\processed\train\edible\edible_000006.jpg"
"5","dbe69dfcb3d3a11e1a70b43b6ab1eed4a936a2a66c0ef44dfa2633d58acb2771","2","True","val","edible","Agaricus_bisporus","data\raw\splitted_dataset\val\edible\Agaricus_bisporus_000005_1.png","data\processed\val\edible\edible_000001.jpg"
"6","def9020db979d15cf5e4d58e6e7f46075319aef4ee20113e4de8ecc2c02abd61","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000007_0.jpg","data\processed\train\edible\edible_000007.jpg"
"6","def9020db979d15cf5e4d58e6e7f46075319aef4ee20113e4de8ecc2c02abd61","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000008_1.jpg","data\processed\train\edible\edible_000010.jpg"
"7","b891ac2735896129409cd344cc64e8731b0a81d4515eabc1135ef4bed6cc9c07","2","True","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000007_1.jpg","data\processed\train\edible\edible_000008.jpg"
"7","b891ac2735896129409cd344cc64e8731b0a81d4515eabc1135ef4bed6cc9c07","2","True","test","edible","Agaricus_bisporus","data\raw\splitted_dataset\test\edible\Agaricus_bisporus_000004_0.jpg","data\processed\test\edible\edible_000000.jpg"
"8","49d32c92eff63cc7ca9bdcf4e1a156744f3f2f1b66d400f2f8c64e7bbdaccaf6","2","True","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000008_0.jpg","data\processed\train\edible\edible_000009.jpg"
"8","49d32c92eff63cc7ca9bdcf4e1a156744f3f2f1b66d400f2f8c64e7bbdaccaf6","2","True","val","edible","Agaricus_bisporus","data\raw\splitted_dataset\val\edible\Agaricus_bisporus_000006_1.jpg","data\processed\val\edible\edible_000003.jpg"
"9","54584884a049b4dc6c1f359be6285fe0b94ad0a332a3cb18a30b9a63d211680f","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000009_1.jpg","data\processed\train\edible\edible_000012.jpg"
"9","54584884a049b4dc6c1f359be6285fe0b94ad0a332a3cb18a30b9a63d211680f","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000011_0.jpg","data\processed\train\edible\edible_000015.jpg"
"10","a8f794d74ccdb98952ea6ff86ba0e107f7b7449a4300e96391cd8159736a3333","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000010_0.jpg","data\processed\train\edible\edible_000013.jpg"
"10","a8f794d74ccdb98952ea6ff86ba0e107f7b7449a4300e96391cd8159736a3333","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000010_1.jpg","data\processed\train\edible\edible_000014.jpg"
"11","c13029a09f4991c59dea53eea51e612b289171d1c768dfb71cac0414d4887ed2","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000011_1.jpg","data\processed\train\edible\edible_000016.jpg"
"11","c13029a09f4991c59dea53eea51e612b289171d1c768dfb71cac0414d4887ed2","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000013_0.jpg","data\processed\train\edible\edible_000019.jpg"
"12","b256c845718e2e560f4540d846a0771f81935c309b6a30484f5bb863abdcd417","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000012_0.jpg","data\processed\train\edible\edible_000017.jpg"
"12","b256c845718e2e560f4540d846a0771f81935c309b6a30484f5bb863abdcd417","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000018_1.jpg","data\processed\train\edible\edible_000029.jpg"
"13","751e0dd32bea95625c355619e369d212b04d99566db083be8d46fa393135853a","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000012_1.png","data\processed\train\edible\edible_000018.jpg"
"13","751e0dd32bea95625c355619e369d212b04d99566db083be8d46fa393135853a","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000015_0.png","data\processed\train\edible\edible_000022.jpg"
"14","18796a4e10d13458eadd2f4db65482239ed289a0e1bb0125f67648731d62ef02","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000013_1.jpg","data\processed\train\edible\edible_000020.jpg"
"14","18796a4e10d13458eadd2f4db65482239ed289a0e1bb0125f67648731d62ef02","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000016_0.jpg","data\processed\train\edible\edible_000024.jpg"
"15","1f5c5175768f78b4f01a4c8d1964c84dc1494189a17d5771c6c46fc3f205e0cb","2","True","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000014_1.jpg","data\processed\train\edible\edible_000021.jpg"
"15","1f5c5175768f78b4f01a4c8d1964c84dc1494189a17d5771c6c46fc3f205e0cb","2","True","val","edible","Agaricus_bisporus","data\raw\splitted_dataset\val\edible\Agaricus_bisporus_000014_0.jpg","data\processed\val\edible\edible_000004.jpg"
"16","a2b3eff6f1409064d05f6f2014332ced69b519be58626325401c80f6dfbe9ab8","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000015_1.jpg","data\processed\train\edible\edible_000023.jpg"
"16","a2b3eff6f1409064d05f6f2014332ced69b519be58626325401c80f6dfbe9ab8","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000018_0.jpg","data\processed\train\edible\edible_000028.jpg"
"17","fb472c06c46c2395d87203482e51a2aa5b8046416abf6767b80ee1954709d86a","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000016_1.jpg","data\processed\train\edible\edible_000025.jpg"
"17","fb472c06c46c2395d87203482e51a2aa5b8046416abf6767b80ee1954709d86a","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000017_0.jpg","data\processed\train\edible\edible_000026.jpg"
"18","cd3fe587a29365f2eaca7f208c42d0b2c8088b3dd6cff4cff5ebcfc85b8500b6","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000017_1.jpg","data\processed\train\edible\edible_000027.jpg"
"18","cd3fe587a29365f2eaca7f208c42d0b2c8088b3dd6cff4cff5ebcfc85b8500b6","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000020_0.jpg","data\processed\train\edible\edible_000032.jpg"
"19","e1928a59d898efba6eb8755acc653aeba4ed6c9b6ea378424ef0f4d5bef50273","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000019_0.jpg","data\processed\train\edible\edible_000030.jpg"
"19","e1928a59d898efba6eb8755acc653aeba4ed6c9b6ea378424ef0f4d5bef50273","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000022_1.jpg","data\processed\train\edible\edible_000036.jpg"
"20","565b6ad4e1b76db2ae19c76aa86ff5537195b8360014f907ba463c3e365837de","2","True","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000019_1.jpg","data\processed\train\edible\edible_000031.jpg"
"20","565b6ad4e1b76db2ae19c76aa86ff5537195b8360014f907ba463c3e365837de","2","True","test","edible","Agaricus_bisporus","data\raw\splitted_dataset\test\edible\Agaricus_bisporus_000022_0.jpg","data\processed\test\edible\edible_000001.jpg"
"21","7afc9c8cf52aacb87058aa7c1fced1041819d8a1cce606a9673448289849eea5","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000020_1.jpg","data\processed\train\edible\edible_000033.jpg"
"21","7afc9c8cf52aacb87058aa7c1fced1041819d8a1cce606a9673448289849eea5","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000021_0.jpg","data\processed\train\edible\edible_000034.jpg"
"22","1bfaa5c0f3d1603edfa294a4d8b899c800357db64f915b871c2309481e82260b","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000021_1.jpg","data\processed\train\edible\edible_000035.jpg"
"22","1bfaa5c0f3d1603edfa294a4d8b899c800357db64f915b871c2309481e82260b","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000023_0.jpg","data\processed\train\edible\edible_000037.jpg"
"23","25e2ee4a731a6e6c0d5ed5a8c2d07e3fee06a43ab15f2f3eb61f6e1ad1f59ecf","2","True","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000024_0.jpg","data\processed\train\edible\edible_000038.jpg"
"23","25e2ee4a731a6e6c0d5ed5a8c2d07e3fee06a43ab15f2f3eb61f6e1ad1f59ecf","2","True","val","edible","Agaricus_bisporus","data\raw\splitted_dataset\val\edible\Agaricus_bisporus_000023_1.jpg","data\processed\val\edible\edible_000005.jpg"
"24","d3b627d7ba22b3de5805dbd36b3d38fd98deffd26afd29646051f5db07cc7b04","2","True","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000025_1.jpg","data\processed\train\edible\edible_000039.jpg"
"24","d3b627d7ba22b3de5805dbd36b3d38fd98deffd26afd29646051f5db07cc7b04","2","True","test","edible","Agaricus_bisporus","data\raw\splitted_dataset\test\edible\Agaricus_bisporus_000025_0.jpg","data\processed\test\edible\edible_000003.jpg"
"25","8d48f9113d12b89b895e8955ba988772dd49a8c7dc9d65eef7e03a89678ee7bb","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000026_0.jpg","data\processed\train\edible\edible_000040.jpg"
"25","8d48f9113d12b89b895e8955ba988772dd49a8c7dc9d65eef7e03a89678ee7bb","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000027_1.jpg","data\processed\train\edible\edible_000042.jpg"
"26","0b8e82e53d4612f9663c3dd018aa3e594573ca4c291cdfc2a27e0a714dc00cf7","2","True","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000027_0.jpg","data\processed\train\edible\edible_000041.jpg"
"26","0b8e82e53d4612f9663c3dd018aa3e594573ca4c291cdfc2a27e0a714dc00cf7","2","True","test","edible","Agaricus_bisporus","data\raw\splitted_dataset\test\edible\Agaricus_bisporus_000024_1.jpg","data\processed\test\edible\edible_000002.jpg"
"27","d54efbcf476bef08656d60483ada479cee7e557b728d4bf9e94b3364e32e53f1","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000028_0.jpg","data\processed\train\edible\edible_000043.jpg"
"27","d54efbcf476bef08656d60483ada479cee7e557b728d4bf9e94b3364e32e53f1","2","False","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000028_1.jpg","data\processed\train\edible\edible_000044.jpg"
"28","cceb8d52e669ad91de483f52c8d6da5de6162bb5907852d4c5f3d2b99ee69be0","2","True","train","edible","Agaricus_bisporus","data\raw\splitted_dataset\train\edible\Agaricus_bisporus_000029_1.jpg","data\processed\train\edible\edible_000045.jpg"
"28","cceb8d52e669ad91de483f52c8d6da5de6162bb5907852d4c5f3d2b99ee69be0","2","True","test","edible","Agaricus_bisporus","data\raw\splitted_dataset\test\edible\Agaricus_bisporus_000029_0.jpg","data\processed\test\edible\edible_000005.jpg"
"29","721be587704a6905528ff2516a536ceb4fe4ece6414229523fda101675f9d34b","2","False","train","edible","Agaricus_subrufescens","data\raw\splitted_dataset\train\edible\Agaricus_subrufescens_000001_0.jpg","data\processed\train\edible\edible_000048.jpg"
"29","721be587704a6905528ff2516a536ceb4fe4ece6414229523fda101675f9d34b","2","False","train","edible","Agaricus_subrufescens","data\raw\splitted_dataset\train\edible\Agaricus_subrufescens_000001_1.jpg","data\processed\train\edible\edible_000049.jpg"
"30","0d51350dae6e350dd8490f6f04f3aa274087d7052c999e53426bd011fbc1ff8a","2","False","train","edible","Agaricus_subrufescens","data\raw\splitted_dataset\train\edible\Agaricus_subrufescens_000002_0.jpg","data\processed\train\edible\edible_000050.jpg"
